review_id,formation_id,formation_label,slot,rank,rohm_player_id,rohm_player_name,rohm_category,current_player_id,current_player_name,current_person_id,candidate_ids
r120,50,スペイン 2012,11,60,1130,プラッソン,PS,1104,プラッソン,1104,1104 1786
r121,52,ベルギー 2013,11,1,1924,ボルト,PS,1729,ボルト,646,646 1216 1729
r122,52,ベルギー 2013,11,8,2374,ボルト,PS,1729,ボルト,646,646 1216 1729
r123,53,コロンビア 2013,10,6,1924,ボルト,PS,1729,ボルト,646,646 1216 1729
r124,53,コロンビア 2013,10,23,2374,ボルト,PS,1729,ボルト,646,646 1216 1729
r125,53,コロンビア 2013,11,10,2374,ボルト,PS,1729,ボルト,646,646 1216 1729
r126,53,コロンビア 2013,11,24,1924,ボルト,PS,1729,ボルト,646,646 1216 1729
r127,54,ブラジル 2014,10,28,2031,ジルマール,PS,1101,ジルマール,517,517 723 965 1913 2013 2221 2455 2863 3128 1144 665 1101
r128,54,ブラジル 2014,10,46,1923,ジルマール,CM,1101,ジルマール,517,517 723 965 1913 2013 2221 2455 2863 3128 1144 665 1101
r129,55,アルゼンチン 2014,8,14,2376,プラッソン,PS,1104,プラッソン,1104,1104 1786
r130,55,アルゼンチン 2014,8,74,1130,プラッソン,PS,1104,プラッソン,1104,1104 1786
r131,57,チリ 2014,7,5,1152,ビデラ,PS,1170,ビデラ,686,686 783 1170 1680 1757 1977 2176 2622
r132,57,チリ 2014,7,19,1549,ビデラ,PS,1170,ビデラ,686,686 783 1170 1680 1757 1977 2176 2622
r133,57,チリ 2014,9,5,2392,オーフェン,PS,1771,オーフェン,33,33 3172 1771 845
r134,57,チリ 2014,9,9,987,オーフェン,PS,1771,オーフェン,33,33 3172 1771 845
r135,57,チリ 2014,10,17,2376,プラッソン,PS,1104,プラッソン,1104,1104 1786
r136,57,チリ 2014,10,19,1130,プラッソン,PS,1104,プラッソン,1104,1104 1786
r137,59,イングランド 2014,7,4,1239,ヒューズ,PS,1111,ヒューズ,453,453 774 1111 1452 847
r138,59,イングランド 2014,7,19,1847,ヒューズ,PS,1111,ヒューズ,453,453 774 1111 1452 847
r139,61,オランダ 2014,1,14,1361,アウアー,PS,1091,アウアー,513,513 835 1091 1649 1922 1997 2924 660
r140,61,オランダ 2014,1,17,2175,アウアー,PS,1091,アウアー,513,513 835 1091 1649 1922 1997 2924 660
r141,61,オランダ 2014,9,7,2376,プラッソン,PS,1104,プラッソン,1104,1104 1786
r142,61,オランダ 2014,9,32,1130,プラッソン,PS,1104,プラッソン,1104,1104 1786
r143,62,ポルトガル 2014,8,14,1235,ランフォード,PS,1112,ランフォード,449,449 773 1112 2378 2600 2940 883 679
r144,62,ポルトガル 2014,8,44,1850,ランフォード,PS,1112,ランフォード,449,449 773 1112 2378 2600 2940 883 679
r145,64,ドイツ 2014,1,1,2175,アウアー,PS,1091,アウアー,513,513 835 1091 1649 1922 1997 2924 660
r146,64,ドイツ 2014,1,6,1361,アウアー,PS,1091,アウアー,513,513 835 1091 1649 1922 1997 2924 660
r147,64,ドイツ 2014,4,40,1351,トレッリ,PS,1175,トレッリ,1175,1539 3113 1175 1958 2421
r148,64,ドイツ 2014,4,58,2046,トレッリ,PS,1175,トレッリ,1175,1539 3113 1175 1958 2421
r149,64,ドイツ 2014,7,26,1235,ランフォード,PS,1112,ランフォード,449,449 773 1112 2378 2600 2940 883 679
r150,64,ドイツ 2014,7,43,1850,ランフォード,PS,1112,ランフォード,449,449 773 1112 2378 2600 2940 883 679
